SamplesAll	Genus	Samples	Family	Clade	Order	Functional_Group	Library
MG_ACA1	Acanthastrea	ACA1	Lobophylliidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_ACA2	Acanthastrea	ACA2	Lobophylliidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_ACA3	Acanthastrea	ACA3	Lobophylliidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_ACA4	Acanthastrea	ACA4	Lobophylliidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_ACA5	Acanthastrea	ACA5	Lobophylliidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_ACR1	Acropora	ACR1	Acroporidae	Complexa	Scleractinia	Competitive	Metagenome
MG_ACR2	Acropora	ACR2	Acroporidae	Complexa	Scleractinia	Competitive	Metagenome
MG_ACR3	Acropora	ACR3	Acroporidae	Complexa	Scleractinia	Competitive	Metagenome
MG_ACR4	Acropora	ACR4	Acroporidae	Complexa	Scleractinia	Competitive	Metagenome
MG_ACR5	Acropora	ACR5	Acroporidae	Complexa	Scleractinia	Competitive	Metagenome
MG_DIP1	Diploastrea	DIP1	Diploastreidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_DIP2	Diploastrea	DIP2	Diploastreidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_DIP3	Diploastrea	DIP3	Diploastreidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_DIP4	Diploastrea	DIP4	Diploastreidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_DIP5	Diploastrea	DIP5	Diploastreidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_FUN1	Fungia	FUN1	Fungiidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_FUN2	Fungia	FUN2	Fungiidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_FUN3	Fungia	FUN3	Fungiidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_FUN4	Fungia	FUN4	Fungiidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_FUN5	Fungia	FUN5	Fungiidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_GAL1	Galaxea	GAL1	Euphylliidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_GAL2	Galaxea	GAL2	Euphylliidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_GAL3	Galaxea	GAL3	Euphylliidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_GAL4	Galaxea	GAL4	Euphylliidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_GAL5	Galaxea	GAL5	Euphylliidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_MIL1	Millepora	MIL1	Milleporidae	None	Anthomedusae	None	Metagenome
MG_MIL2	Millepora	MIL2	Milleporidae	None	Anthomedusae	None	Metagenome
MG_MIL3	Millepora	MIL3	Milleporidae	None	Anthomedusae	None	Metagenome
MG_MIL4	Millepora	MIL4	Milleporidae	None	Anthomedusae	None	Metagenome
MG_MIL5	Millepora	MIL5	Milleporidae	None	Anthomedusae	None	Metagenome
MG_MYC1	Mycedium	MYC1	Pectiniidae	Robusta	Scleractinia	Generalist	Metagenome
MG_MYC2	Mycedium	MYC2	Pectiniidae	Robusta	Scleractinia	Generalist	Metagenome
MG_MYC3	Mycedium	MYC3	Pectiniidae	Robusta	Scleractinia	Generalist	Metagenome
MG_MYC4	Mycedium	MYC4	Pectiniidae	Robusta	Scleractinia	Generalist	Metagenome
MG_MYC5	Mycedium	MYC5	Pectiniidae	Robusta	Scleractinia	Generalist	Metagenome
MG_PAC1	Pachyseris	PAC1	Agariciidae	Complexa	Scleractinia	Generalist	Metagenome
MG_PAC2	Pachyseris	PAC2	Agariciidae	Complexa	Scleractinia	Generalist	Metagenome
MG_PAC3	Pachyseris	PAC3	Agariciidae	Complexa	Scleractinia	Generalist	Metagenome
MG_PAC4	Pachyseris	PAC4	Agariciidae	Complexa	Scleractinia	Generalist	Metagenome
MG_PAC5	Pachyseris	PAC5	Agariciidae	Complexa	Scleractinia	Generalist	Metagenome
MG_PAV1	Pavona	PAV1	Agariciidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_PAV2	Pavona	PAV2	Agariciidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_PAV3	Pavona	PAV3	Agariciidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_PAV4	Pavona	PAV4	Agariciidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_PAV5	Pavona	PAV5	Agariciidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_PLE1	Plerogyra	PLE1	Caryophylliidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_PLE2	Plerogyra	PLE2	Caryophylliidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_PLE3	Plerogyra	PLE3	Caryophylliidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_PLE4	Plerogyra	PLE4	Caryophylliidae	Robusta	Scleractinia	Stress-tolerant	Metagenome
MG_POC1	Pocillopora	POC1	Pocilloporidae	Robusta	Scleractinia	Competitive	Metagenome
MG_POC2	Pocillopora	POC2	Pocilloporidae	Robusta	Scleractinia	Competitive	Metagenome
MG_POC3	Pocillopora	POC3	Pocilloporidae	Robusta	Scleractinia	Competitive	Metagenome
MG_POC4	Pocillopora	POC4	Pocilloporidae	Robusta	Scleractinia	Competitive	Metagenome
MG_POR1	Porites	POR1	Poritidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_POR2	Porites	POR2	Poritidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_POR3	Porites	POR3	Poritidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_POR4	Porites	POR4	Poritidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_POR5	Porites	POR5	Poritidae	Complexa	Scleractinia	Stress-tolerant	Metagenome
MG_STY1	Stylophora	STY1	Pocilloporidae	Robusta	Scleractinia	Weedy	Metagenome
MG_STY2	Stylophora	STY2	Pocilloporidae	Robusta	Scleractinia	Weedy	Metagenome
MG_STY3	Stylophora	STY3	Pocilloporidae	Robusta	Scleractinia	Weedy	Metagenome
MG_STY4	Stylophora	STY4	Pocilloporidae	Robusta	Scleractinia	Weedy	Metagenome
MG_STY5	Stylophora	STY5	Pocilloporidae	Robusta	Scleractinia	Weedy	Metagenome
MG_XEN1	Xenia	XEN1	Xeniidae	None	 Octocorallia	None	Metagenome
MG_XEN2	Xenia	XEN2	Xeniidae	None	 Octocorallia	None	Metagenome
MG_XEN3	Xenia	XEN3	Xeniidae	None	 Octocorallia	None	Metagenome
MG_XEN4	Xenia	XEN4	Xeniidae	None	 Octocorallia	None	Metagenome
MG_XEN5	Xenia	XEN5	Xeniidae	None	 Octocorallia	None	Metagenome
MT_ACA1	Acanthastrea	ACA1	Lobophylliidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_ACA2	Acanthastrea	ACA2	Lobophylliidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_ACA3	Acanthastrea	ACA3	Lobophylliidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_ACA4	Acanthastrea	ACA4	Lobophylliidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_ACA5	Acanthastrea	ACA5	Lobophylliidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_ACR1	Acropora	ACR1	Acroporidae	Complexa	Scleractinia	Competitive	Metatranscriptome
MT_ACR2	Acropora	ACR2	Acroporidae	Complexa	Scleractinia	Competitive	Metatranscriptome
MT_ACR3	Acropora	ACR3	Acroporidae	Complexa	Scleractinia	Competitive	Metatranscriptome
MT_ACR4	Acropora	ACR4	Acroporidae	Complexa	Scleractinia	Competitive	Metatranscriptome
MT_ACR5	Acropora	ACR5	Acroporidae	Complexa	Scleractinia	Competitive	Metatranscriptome
MT_DIP1	Diploastrea	DIP1	Diploastreidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_DIP2	Diploastrea	DIP2	Diploastreidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_DIP3	Diploastrea	DIP3	Diploastreidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_DIP4	Diploastrea	DIP4	Diploastreidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_DIP5	Diploastrea	DIP5	Diploastreidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_FUN1	Fungia	FUN1	Fungiidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_FUN2	Fungia	FUN2	Fungiidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_FUN3	Fungia	FUN3	Fungiidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_FUN4	Fungia	FUN4	Fungiidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_FUN5	Fungia	FUN5	Fungiidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_GAL1	Galaxea	GAL1	Euphylliidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_GAL2	Galaxea	GAL2	Euphylliidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_GAL3	Galaxea	GAL3	Euphylliidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_GAL4	Galaxea	GAL4	Euphylliidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_GAL5	Galaxea	GAL5	Euphylliidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_MIL1	Millepora	MIL1	Milleporidae	None	Anthomedusae	None	Metatranscriptome
MT_MIL2	Millepora	MIL2	Milleporidae	None	Anthomedusae	None	Metatranscriptome
MT_MIL3	Millepora	MIL3	Milleporidae	None	Anthomedusae	None	Metatranscriptome
MT_MIL4	Millepora	MIL4	Milleporidae	None	Anthomedusae	None	Metatranscriptome
MT_MIL5	Millepora	MIL5	Milleporidae	None	Anthomedusae	None	Metatranscriptome
